kind,match_id,outcome,date,label,selection,verdict,score,model_prob,market_implied,edge,ev,decimal_odds,stake_usd,why,cautions,stake_raw_usd
match,65,draw,2026-06-26,New Zealand vs Belgium,Draw (draw),PASS,0.0,0.3423,0.1552,0.1871,1.0538,6.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,35,draw,2026-06-20,Ecuador vs Curacao,Draw (draw),PASS,0.0,0.2618,0.1209,0.1409,0.9635,7.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,18,draw,2026-06-16,Norway vs Iraq,Draw (draw),PASS,0.0,0.2748,0.1291,0.1457,0.9236,7.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,40,draw,2026-06-21,New Zealand vs Egypt,Draw (draw),PASS,0.0,0.4649,0.248,0.2169,0.7899,3.85,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,24,draw,2026-06-17,Uzbekistan vs Colombia,Draw (draw),PASS,0.0,0.3357,0.2,0.1357,0.5778,4.7,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,45,draw,2026-06-23,Portugal vs Uzbekistan,Draw (draw),PASS,0.0,0.2415,0.1403,0.1012,0.5697,6.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,52,draw,2026-06-24,Morocco vs Haiti,Draw (draw),PASS,0.0,0.3065,0.1856,0.1209,0.5325,5.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,7,draw,2026-06-13,Haiti vs Scotland,Draw (draw),PASS,0.0,0.3315,0.2055,0.126,0.5249,4.6,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,27,draw,2026-06-18,Canada vs Qatar,Draw (draw),PASS,0.0,0.275,0.1684,0.1066,0.5125,5.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,21,draw,2026-06-17,Portugal vs DR Congo,Draw (draw),PASS,0.0,0.2536,0.16,0.0936,0.4582,5.75,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,15,draw,2026-06-15,Saudi Arabia vs Uruguay,Draw (draw),PASS,0.0,0.318,0.2102,0.1078,0.431,4.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,29,draw,2026-06-19,USA vs Australia,Draw (draw),PASS,0.0,0.3165,0.21,0.1065,0.4243,4.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,46,draw,2026-06-23,England vs Ghana,Draw (draw),PASS,0.0,0.2553,0.1689,0.0864,0.4042,5.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,48,draw,2026-06-23,Colombia vs DR Congo,Draw (draw),PASS,0.0,0.3188,0.2151,0.1037,0.4027,4.4,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,44,draw,2026-06-22,Jordan vs Algeria,Draw (draw),PASS,0.0,0.3099,0.216,0.0939,0.3636,4.4,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,62,draw,2026-06-26,Senegal vs Iraq,Draw (draw),PASS,0.0,0.2817,0.1952,0.0865,0.3522,4.8,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,67,draw,2026-06-27,Panama vs England,Draw (draw),PASS,0.0,0.2077,0.1411,0.0666,0.35,6.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,23,draw,2026-06-17,Ghana vs Panama,Draw (draw),PASS,0.0,0.3866,0.2797,0.1069,0.3144,3.4,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,20,draw,2026-06-16,Austria vs Jordan,Draw (draw),PASS,0.0,0.2375,0.1701,0.0674,0.3062,5.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,34,draw,2026-06-20,Germany vs Ivory Coast,Draw (draw),PASS,0.0,0.2965,0.2139,0.0826,0.3046,4.4,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,12,draw,2026-06-14,Tunisia vs Sweden,Draw (draw),PASS,0.0,0.3653,0.2696,0.0957,0.2968,3.55,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,47,draw,2026-06-23,Panama vs Croatia,Draw (draw),PASS,0.0,0.3219,0.2355,0.0864,0.2876,4.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,51,draw,2026-06-24,Scotland vs Brazil,Draw (draw),PASS,0.0,0.2571,0.1854,0.0717,0.2855,5.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,38,draw,2026-06-21,Belgium vs Iran,Draw (draw),PASS,0.0,0.2676,0.1952,0.0724,0.2845,4.8,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,33,draw,2026-06-20,Netherlands vs Sweden,Draw (draw),PASS,0.0,0.301,0.2269,0.0741,0.2642,4.2,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,25,draw,2026-06-18,South Africa vs Czechia,Draw (draw),PASS,0.0,0.3365,0.2554,0.0811,0.2619,3.75,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,58,draw,2026-06-25,Japan vs Sweden,Draw (draw),PASS,0.0,0.357,0.2746,0.0824,0.2317,3.45,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,39,draw,2026-06-21,Uruguay vs Cape Verde,Draw (draw),PASS,0.0,0.2623,0.2044,0.0579,0.2066,4.6,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,66,draw,2026-06-26,Egypt vs Iran,Draw (draw),PASS,0.0,0.3925,0.3158,0.0767,0.1971,3.05,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,50,draw,2026-06-24,Qatar vs Bosnia and Herzegovina,Draw (draw),PASS,0.0,0.3093,0.2468,0.0625,0.1908,3.85,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,64,draw,2026-06-26,Cape Verde vs Saudi Arabia,Draw (draw),PASS,0.0,0.3076,0.2478,0.0598,0.1843,3.85,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,55,draw,2026-06-25,Ecuador vs Germany,Draw (draw),PASS,0.0,0.297,0.2442,0.0528,0.1583,3.9,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,6,draw,2026-06-13,Brazil vs Morocco,Draw (draw),PASS,0.0,0.313,0.2564,0.0566,0.1581,3.7,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,14,draw,2026-06-15,Belgium vs Egypt,Draw (draw),PASS,0.0,0.2929,0.2356,0.0573,0.157,3.95,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,49,draw,2026-06-24,Canada vs Switzerland,Draw (draw),PASS,0.0,0.3318,0.2769,0.0549,0.1447,3.45,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,70,draw,2026-06-27,Uzbekistan vs DR Congo,Draw (draw),PASS,0.0,0.3394,0.2852,0.0542,0.137,3.35,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,57,draw,2026-06-25,Tunisia vs Netherlands,Draw (draw),PASS,0.0,0.2566,0.2127,0.0439,0.129,4.4,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,8,draw,2026-06-13,Australia vs Turkey,Draw (draw),PASS,0.0,0.2885,0.2486,0.0399,0.0963,3.8,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
